District Name,District Number,Staff Type,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Pacific Islander,Multiple Races/Ethnicities,White,Unknown Race/Ethnicity
Richard City,581,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Richard City,581,All Educators,11.8%,0.0%,0.0%,0.0%,0.0%,0.0%,76.5%,11.8%
Richard City,581,Teachers,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,71.4%,14.3%
Marshall County,590,Administrators,0.0%,0.0%,9.1%,0.0%,0.0%,0.0%,86.4%,4.5%
Marshall County,590,All Educators,0.0%,0.0%,4.0%,1.1%,0.0%,0.3%,86.5%,8.1%
Marshall County,590,Teachers,0.0%,0.0%,3.4%,1.4%,0.0%,0.3%,85.2%,9.6%
Maury County,600,Administrators,0.0%,0.0%,15.4%,0.0%,0.0%,0.0%,73.1%,11.5%
Maury County,600,All Educators,0.2%,0.6%,5.2%,1.8%,0.0%,0.3%,82.3%,9.5%
Maury County,600,Teachers,0.3%,0.8%,4.9%,2.1%,0.0%,0.3%,82.4%,9.3%
Meigs County,610,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Meigs County,610,All Educators,0.0%,0.0%,0.7%,1.4%,0.0%,0.7%,85.7%,11.4%
Meigs County,610,Teachers,0.0%,0.0%,0.0%,1.8%,0.0%,0.0%,84.2%,14.0%
Monroe County,620,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,87.5%,12.5%
Monroe County,620,All Educators,0.0%,0.0%,0.6%,0.6%,0.0%,0.6%,86.9%,11.4%
Monroe County,620,Teachers,0.0%,0.0%,0.7%,0.7%,0.0%,0.7%,87.6%,10.3%
Sweetwater,621,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Sweetwater,621,All Educators,0.0%,0.0%,2.9%,0.0%,0.0%,0.0%,89.5%,7.6%
Sweetwater,621,Teachers,0.0%,0.0%,3.7%,0.0%,0.0%,0.0%,89.0%,7.3%
Montgomery County,630,Administrators,0.0%,1.6%,12.5%,3.9%,0.0%,0.8%,78.9%,2.3%
Montgomery County,630,All Educators,0.2%,0.7%,9.9%,4.8%,0.1%,1.6%,80.0%,2.7%
Montgomery County,630,Teachers,0.1%,0.6%,9.4%,5.3%,0.1%,1.5%,80.1%,2.8%
Moore County,640,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Moore County,640,All Educators,0.0%,0.0%,0.0%,0.0%,0.0%,1.3%,89.9%,8.9%
Moore County,640,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,1.6%,87.5%,10.9%
Morgan County,650,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,86.7%,13.3%
Morgan County,650,All Educators,0.0%,0.5%,0.0%,0.5%,0.0%,0.0%,86.6%,12.4%
Morgan County,650,Teachers,0.0%,0.6%,0.0%,0.6%,0.0%,0.0%,85.3%,13.5%
Obion County,660,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,93.3%,6.7%
Obion County,660,All Educators,0.0%,0.0%,0.4%,2.2%,0.0%,0.0%,91.3%,6.2%
Obion County,660,Teachers,0.0%,0.0%,0.5%,2.8%,0.0%,0.0%,90.7%,6.0%
Union City,661,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,42.9%
Union City,661,All Educators,0.0%,0.0%,5.2%,0.9%,0.0%,0.9%,83.5%,9.6%
Union City,661,Teachers,0.0%,0.0%,5.5%,1.1%,0.0%,1.1%,85.7%,6.6%
Overton County,670,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,93.3%,6.7%
Overton County,670,All Educators,0.0%,0.0%,0.4%,0.4%,0.0%,0.4%,88.9%,9.7%
Overton County,670,Teachers,0.0%,0.0%,0.0%,0.6%,0.0%,0.6%,89.0%,9.8%
Perry County,680,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,87.5%,12.5%
Perry County,680,All Educators,0.0%,0.0%,0.0%,0.0%,1.0%,0.0%,92.0%,7.0%
Perry County,680,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,94.7%,5.3%
Pickett County,690,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Pickett County,690,All Educators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.2%,14.8%
Pickett County,690,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,84.1%,15.9%
Polk County,700,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,88.9%,11.1%
Polk County,700,All Educators,0.6%,0.0%,0.0%,0.6%,0.0%,0.0%,87.4%,11.5%
Polk County,700,Teachers,0.7%,0.0%,0.0%,0.7%,0.0%,0.0%,86.9%,11.7%
Putnam County,710,Administrators,0.0%,2.0%,0.0%,2.0%,0.0%,0.0%,94.0%,2.0%
Putnam County,710,All Educators,0.1%,0.2%,0.6%,1.8%,0.1%,0.0%,87.2%,9.9%
Putnam County,710,Teachers,0.1%,0.1%,0.6%,2.2%,0.1%,0.0%,85.7%,11.0%
Rhea County,720,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,83.3%,16.7%
Rhea County,720,All Educators,0.3%,0.3%,0.9%,2.8%,0.0%,0.3%,84.2%,11.2%
Rhea County,720,Teachers,0.4%,0.4%,0.8%,3.2%,0.0%,0.4%,84.3%,10.5%
Dayton,721,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Dayton,721,All Educators,0.0%,0.0%,1.5%,0.0%,0.0%,0.0%,92.4%,6.1%
Dayton,721,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,94.4%,5.6%
Roane County,730,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Roane County,730,All Educators,0.2%,0.4%,0.6%,0.6%,0.0%,0.6%,89.9%,7.6%
Roane County,730,Teachers,0.3%,0.5%,0.0%,0.8%,0.0%,0.5%,89.3%,8.7%
Robertson County,740,Administrators,0.0%,0.0%,10.0%,0.0%,0.0%,0.0%,86.0%,4.0%
Robertson County,740,All Educators,0.1%,0.2%,3.2%,1.8%,0.0%,0.6%,85.4%,8.7%
Robertson County,740,Teachers,0.1%,0.1%,2.4%,2.2%,0.0%,0.7%,85.3%,9.0%
Rutherford County,750,Administrators,0.0%,0.0%,13.5%,1.8%,0.0%,0.6%,80.6%,3.5%
Rutherford County,750,All Educators,0.2%,0.7%,7.0%,2.2%,0.0%,0.9%,81.7%,7.3%
Rutherford County,750,Teachers,0.2%,0.8%,6.1%,2.4%,0.0%,1.0%,82.2%,7.4%
Murfreesboro,751,Administrators,0.0%,0.0%,28.6%,3.6%,0.0%,3.6%,64.3%,0.0%
Murfreesboro,751,All Educators,0.0%,0.9%,9.4%,2.2%,0.1%,0.5%,76.9%,9.9%
Murfreesboro,751,Teachers,0.0%,1.0%,8.7%,2.4%,0.0%,0.5%,78.2%,9.2%
Scott County,760,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Scott County,760,All Educators,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,89.1%,10.4%
Scott County,760,Teachers,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,88.5%,10.9%
Oneida,761,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,20.0%
Oneida,761,All Educators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,79.8%,20.2%
Oneida,761,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,77.8%,22.2%
Sequatchie County,770,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Sequatchie County,770,All Educators,0.0%,0.0%,0.0%,1.2%,0.0%,0.6%,85.3%,12.9%
Sequatchie County,770,Teachers,0.0%,0.0%,0.0%,1.6%,0.0%,0.0%,84.7%,13.7%
Sevier County,780,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,95.0%,5.0%
Sevier County,780,All Educators,0.0%,0.2%,0.5%,1.2%,0.0%,0.2%,84.6%,13.3%
Sevier County,780,Teachers,0.0%,0.2%,0.6%,1.3%,0.0%,0.2%,83.7%,13.9%
Memphis-Shelby County Schools,792,Administrators,0.0%,0.0%,77.4%,0.7%,0.0%,0.5%,14.6%,6.8%
Memphis-Shelby County Schools,792,All Educators,0.1%,0.8%,60.8%,2.3%,0.0%,0.9%,26.3%,8.9%
Memphis-Shelby County Schools,792,Teachers,0.1%,1.0%,58.0%,2.7%,0.0%,0.9%,28.2%,9.1%
Arlington,793,Administrators,0.0%,0.0%,26.7%,0.0%,0.0%,6.7%,66.7%,0.0%
Arlington,793,All Educators,0.6%,0.0%,11.8%,1.2%,0.0%,0.6%,83.9%,1.9%
Arlington,793,Teachers,0.8%,0.0%,10.8%,1.5%,0.0%,0.4%,84.6%,1.9%
Bartlett,794,Administrators,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,75.0%,0.0%
Bartlett,794,All Educators,0.0%,0.2%,13.9%,1.8%,0.0%,1.1%,74.6%,8.5%
Bartlett,794,Teachers,0.0%,0.2%,12.7%,1.6%,0.0%,1.4%,74.7%,9.3%
Collierville,795,Administrators,0.0%,0.0%,21.6%,8.1%,0.0%,0.0%,70.3%,0.0%
Collierville,795,All Educators,0.0%,1.0%,13.1%,1.5%,0.0%,1.0%,77.8%,5.6%
Collierville,795,Teachers,0.0%,1.1%,12.1%,1.3%,0.0%,0.9%,78.0%,6.5%
Germantown,796,Administrators,0.0%,0.0%,13.0%,0.0%,0.0%,4.3%,82.6%,0.0%
Germantown,796,All Educators,0.0%,0.9%,5.8%,1.8%,0.0%,0.4%,81.3%,9.8%
Germantown,796,Teachers,0.0%,1.2%,5.0%,2.3%,0.0%,0.3%,81.3%,9.9%
Lakeland,797,Administrators,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,66.7%,11.1%
Lakeland,797,All Educators,0.0%,0.0%,5.7%,2.5%,0.0%,0.6%,82.4%,8.8%
Lakeland,797,Teachers,0.0%,0.0%,3.9%,3.1%,0.0%,0.8%,82.7%,9.4%
Millington,798,Administrators,0.0%,0.0%,18.2%,0.0%,0.0%,0.0%,81.8%,0.0%
Millington,798,All Educators,0.5%,0.0%,20.4%,3.7%,0.0%,0.5%,66.0%,8.9%
Millington,798,Teachers,0.7%,0.0%,19.6%,3.9%,0.0%,0.7%,65.4%,9.8%
Smith County,800,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,88.9%,11.1%
Smith County,800,All Educators,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,86.8%,12.8%
Smith County,800,Teachers,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,85.6%,13.9%
Stewart County,810,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Stewart County,810,All Educators,0.0%,0.0%,0.0%,0.0%,0.0%,0.7%,90.1%,9.2%
Stewart County,810,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.9%,88.8%,10.3%
Sullivan County,820,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,90.9%,9.1%
Sullivan County,820,All Educators,0.2%,0.0%,0.2%,0.3%,0.0%,0.3%,87.3%,11.7%
Sullivan County,820,Teachers,0.2%,0.0%,0.2%,0.4%,0.0%,0.4%,86.4%,12.4%
Bristol,821,Administrators,0.0%,0.0%,6.7%,0.0%,0.0%,0.0%,93.3%,0.0%
Bristol,821,All Educators,0.6%,0.3%,0.9%,0.0%,0.0%,0.9%,88.9%,8.4%
Bristol,821,Teachers,0.8%,0.4%,0.8%,0.0%,0.0%,0.4%,87.8%,9.8%
Kingsport,822,Administrators,0.0%,0.0%,3.6%,0.0%,0.0%,0.0%,96.4%,0.0%
Kingsport,822,All Educators,0.0%,0.8%,1.4%,0.8%,0.2%,0.8%,87.3%,8.7%
Kingsport,822,Teachers,0.0%,1.1%,0.4%,0.9%,0.2%,0.4%,87.6%,9.4%
Sumner County,830,Administrators,0.0%,1.0%,5.8%,0.0%,0.0%,0.0%,90.4%,2.9%
Sumner County,830,All Educators,0.1%,0.2%,1.8%,1.8%,0.1%,0.5%,87.4%,8.2%
Sumner County,830,Teachers,0.2%,0.2%,1.4%,1.9%,0.1%,0.5%,86.9%,8.7%
Tipton County,840,Administrators,0.0%,0.0%,28.9%,0.0%,0.0%,0.0%,65.8%,5.3%
Tipton County,840,All Educators,0.0%,0.2%,8.7%,1.4%,0.0%,0.3%,81.1%,8.3%
Tipton County,840,Teachers,0.0%,0.0%,6.2%,1.6%,0.0%,0.0%,84.3%,8.0%
Trousdale County,850,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,83.3%,16.7%
Trousdale County,850,All Educators,0.0%,1.0%,2.0%,0.0%,0.0%,0.0%,89.0%,8.0%
Trousdale County,850,Teachers,0.0%,1.2%,1.2%,0.0%,0.0%,0.0%,90.4%,7.2%
Unicoi County,860,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,83.3%,16.7%
Unicoi County,860,All Educators,0.0%,0.0%,0.0%,0.6%,0.0%,0.0%,89.2%,10.2%
Unicoi County,860,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,90.4%,9.6%
Union County,870,Administrators,0.0%,0.0%,4.5%,0.0%,0.0%,0.0%,81.8%,13.6%
Union County,870,All Educators,0.0%,0.0%,2.6%,0.7%,0.0%,0.9%,84.5%,11.4%
Union County,870,Teachers,0.0%,0.0%,2.2%,0.8%,0.0%,1.1%,84.6%,11.2%
Van Buren County,880,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Van Buren County,880,All Educators,0.0%,0.0%,0.0%,1.5%,0.0%,0.0%,89.4%,9.1%
Van Buren County,880,Teachers,0.0%,0.0%,0.0%,2.0%,0.0%,0.0%,89.8%,8.2%
Warren County,890,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Warren County,890,All Educators,0.0%,0.2%,0.2%,0.4%,0.0%,0.2%,90.1%,8.9%
Warren County,890,Teachers,0.0%,0.3%,0.3%,0.3%,0.0%,0.3%,88.9%,10.0%
Washington County,900,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,93.5%,6.5%
Washington County,900,All Educators,0.0%,0.5%,0.3%,1.0%,0.0%,0.5%,88.5%,9.3%
Washington County,900,Teachers,0.0%,0.6%,0.4%,1.3%,0.0%,0.4%,88.1%,9.2%
Johnson City,901,Administrators,0.0%,0.0%,7.4%,3.7%,0.0%,3.7%,85.2%,0.0%
Johnson City,901,All Educators,0.2%,0.5%,3.1%,2.1%,0.0%,1.7%,85.0%,7.4%
Johnson City,901,Teachers,0.2%,0.6%,2.7%,1.9%,0.0%,1.1%,85.1%,8.4%
Wayne County,910,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,92.3%,7.7%
Wayne County,910,All Educators,0.0%,0.0%,0.0%,0.5%,0.0%,0.5%,94.9%,4.0%
Wayne County,910,Teachers,0.0%,0.0%,0.0%,0.7%,0.0%,0.7%,95.3%,3.4%
Weakley County,920,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Weakley County,920,All Educators,0.3%,0.0%,1.8%,1.2%,0.0%,0.3%,90.3%,6.1%
Weakley County,920,Teachers,0.4%,0.0%,2.4%,1.6%,0.0%,0.4%,88.5%,6.7%
White County,930,Administrators,0.0%,0.0%,6.7%,0.0%,0.0%,0.0%,93.3%,0.0%
White County,930,All Educators,0.0%,0.3%,0.7%,0.7%,0.0%,0.0%,93.8%,4.5%
White County,930,Teachers,0.0%,0.4%,0.4%,0.4%,0.0%,0.0%,93.6%,5.2%
Williamson County,940,Administrators,0.0%,0.0%,7.8%,1.4%,0.0%,0.7%,83.7%,6.4%
Williamson County,940,All Educators,0.1%,0.5%,2.0%,2.1%,0.0%,0.4%,84.6%,10.2%
Williamson County,940,Teachers,0.1%,0.5%,1.1%,2.1%,0.0%,0.4%,85.3%,10.4%
Franklin SSD,941,Administrators,0.0%,0.0%,17.6%,0.0%,0.0%,0.0%,82.4%,0.0%
Franklin SSD,941,All Educators,0.0%,0.0%,5.1%,1.7%,0.3%,0.6%,84.2%,8.2%
Franklin SSD,941,Teachers,0.0%,0.0%,4.3%,2.0%,0.4%,0.8%,83.8%,8.7%
Wilson County,950,Administrators,0.0%,0.0%,6.2%,0.0%,0.0%,0.0%,81.2%,12.5%
Wilson County,950,All Educators,0.0%,0.4%,1.9%,1.4%,0.0%,0.6%,84.6%,11.2%
Wilson County,950,Teachers,0.0%,0.5%,1.6%,1.4%,0.0%,0.7%,85.2%,10.7%
Lebanon,951,Administrators,0.0%,0.0%,6.2%,0.0%,0.0%,0.0%,93.8%,0.0%
Lebanon,951,All Educators,0.0%,0.3%,3.8%,0.6%,0.0%,0.0%,86.7%,8.5%
Lebanon,951,Teachers,0.0%,0.4%,3.3%,0.4%,0.0%,0.0%,86.5%,9.4%
West Tenn School For Deaf,960,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
West Tenn School For Deaf,960,All Educators,0.0%,0.0%,6.2%,0.0%,0.0%,0.0%,87.5%,6.2%
West Tenn School For Deaf,960,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,88.9%,11.1%
Tenn School For Blind,963,Administrators,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Tenn School For Blind,963,All Educators,0.0%,2.0%,14.0%,2.0%,0.0%,2.0%,74.0%,6.0%
Tenn School For Blind,963,Teachers,0.0%,0.0%,10.7%,3.6%,0.0%,3.6%,78.6%,3.6%
Tenn Sch For Deaf,964,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Tenn Sch For Deaf,964,All Educators,1.9%,0.0%,1.9%,0.0%,1.9%,0.0%,87.0%,7.4%
Tenn Sch For Deaf,964,Teachers,3.6%,0.0%,3.6%,0.0%,0.0%,0.0%,82.1%,10.7%
Achievement School District,985,Administrators,0.0%,0.0%,73.3%,0.0%,0.0%,6.7%,13.3%,6.7%
Achievement School District,985,All Educators,0.4%,0.8%,59.5%,2.9%,0.0%,1.2%,28.1%,7.0%
Achievement School District,985,Teachers,0.5%,1.0%,59.4%,2.6%,0.0%,1.0%,28.1%,7.3%
Tenn. Public Charter School Commission,987,Administrators,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Tenn. Public Charter School Commission,987,All Educators,0.0%,0.5%,47.0%,5.6%,0.0%,2.5%,39.4%,5.1%
Tenn. Public Charter School Commission,987,Teachers,0.0%,0.0%,42.6%,5.6%,0.0%,3.1%,43.2%,5.6%
