District Name,District Number,Staff Type,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Pacific Islander,Multiple Races/Ethnicities,White,Unknown Race/Ethnicity
Gibson Co Sp Dist,275,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,2.10%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.16%,8.04%
Gibson Co Sp Dist,275,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,2.59%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.22%,7.33%
Giles County,280,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,88.24%,Fewer than 5 Educators
Giles County,280,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,2.68%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.63%,7.36%
Giles County,280,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,2.93%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.87%,6.69%
Grainger County,290,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,86.67%,Fewer than 5 Educators
Grainger County,290,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,88.24%,10.59%
Grainger County,290,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.25%,11.76%
Greene County,300,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,96.00%,Fewer than 5 Educators
Greene County,300,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.48%,7.25%
Greene County,300,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.05%,7.14%
Greeneville,301,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.86%,Fewer than 5 Educators
Greeneville,301,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,88.67%,9.38%
Greeneville,301,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,88.24%,9.31%
Grundy County,310,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,85.71%,Fewer than 5 Educators
Grundy County,310,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.59%,11.68%
Grundy County,310,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.96%,11.11%
Hamblen County,320,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,97.14%,Fewer than 5 Educators
Hamblen County,320,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,1.27%,2.41%,Fewer than 5 Educators,1.14%,86.46%,8.61%
Hamblen County,320,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,1.40%,2.65%,Fewer than 5 Educators,1.09%,85.49%,9.20%
Hamilton County,330,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,28.70%,2.31%,Fewer than 5 Educators,Fewer than 5 Educators,63.89%,2.31%
Hamilton County,330,All Educators,0.12%,0.72%,10.01%,2.88%,Fewer than 5 Educators,1.15%,76.09%,8.93%
Hamilton County,330,Teachers,Fewer than 5 Educators,0.83%,7.85%,3.31%,Fewer than 5 Educators,1.20%,76.56%,10.12%
Hancock County,340,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Hancock County,340,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.86%,7.14%
Hancock County,340,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.31%,7.69%
Hardeman County Schools,350,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,42.86%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,57.14%,Fewer than 5 Educators
Hardeman County Schools,350,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,19.16%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,78.16%,Fewer than 5 Educators
Hardeman County Schools,350,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,16.99%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,79.61%,Fewer than 5 Educators
Hardin County,360,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Hardin County,360,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.78%,4.69%
Hardin County,360,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.89%,3.79%
Hawkins County,370,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.67%,Fewer than 5 Educators
Hawkins County,370,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.86%,7.41%
Hawkins County,370,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.94%,7.37%
Rogersville,371,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Rogersville,371,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.57%,9.43%
Rogersville,371,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.86%,Fewer than 5 Educators
Haywood County,380,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,29.41%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,64.71%,Fewer than 5 Educators
Haywood County,380,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,32.02%,2.46%,Fewer than 5 Educators,Fewer than 5 Educators,58.13%,5.91%
Haywood County,380,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,28.93%,3.14%,Fewer than 5 Educators,Fewer than 5 Educators,59.75%,6.29%
Henderson County,390,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.50%,Fewer than 5 Educators
Henderson County,390,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.58%,5.72%
Henderson County,390,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.34%,5.53%
Lexington,391,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Lexington,391,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,7.04%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,81.69%,9.86%
Lexington,391,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,83.33%,9.26%
Henry County,400,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.67%,Fewer than 5 Educators
Henry County,400,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,3.10%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.61%,7.96%
Henry County,400,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,3.41%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,86.93%,7.95%
Paris,401,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.50%,Fewer than 5 Educators
Paris,401,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,4.44%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.11%,3.70%
Paris,401,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.67%,Fewer than 5 Educators
Hickman County,410,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,93.33%,Fewer than 5 Educators
Hickman County,410,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,88.89%,7.78%
Hickman County,410,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.59%,6.44%
Houston County,420,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Houston County,420,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.74%,8.49%
Houston County,420,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.02%,9.76%
Humphreys County,430,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Humphreys County,430,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.43%,7.14%
Humphreys County,430,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.98%,6.79%
Jackson County,440,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Jackson County,440,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,84.96%,14.16%
Jackson County,440,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.78%,11.11%
Jefferson County,450,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,95.83%,Fewer than 5 Educators
Jefferson County,450,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,1.13%,Fewer than 5 Educators,Fewer than 5 Educators,86.39%,10.96%
Jefferson County,450,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,86.78%,11.06%
Knox County,470,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,13.83%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,79.79%,5.32%
Knox County,470,All Educators,0.16%,0.58%,3.06%,1.96%,Fewer than 5 Educators,0.86%,82.61%,10.78%
Knox County,470,Teachers,0.18%,0.66%,2.11%,2.03%,Fewer than 5 Educators,0.90%,82.57%,11.56%
Lake County,480,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Lake County,480,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,12.70%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,79.37%,Fewer than 5 Educators
Lake County,480,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,10.87%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,78.26%,Fewer than 5 Educators
Lauderdale County,490,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,50.00%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,44.44%,Fewer than 5 Educators
Lauderdale County,490,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,16.30%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,77.54%,3.99%
Lauderdale County,490,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,13.96%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,80.18%,3.15%
Lawrence County,500,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Lawrence County,500,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.74%,6.53%
Lawrence County,500,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.49%,6.54%
Lewis County,510,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,73.33%,Fewer than 5 Educators
Lewis County,510,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,4.21%,2.68%,Fewer than 5 Educators,Fewer than 5 Educators,85.82%,6.90%
Lewis County,510,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,2.82%,2.82%,Fewer than 5 Educators,Fewer than 5 Educators,87.32%,7.04%
Lincoln County,520,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Lincoln County,520,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,3.79%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,84.14%,10.00%
Lincoln County,520,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,3.62%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,82.81%,11.31%
Fayetteville,521,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,71.43%,Fewer than 5 Educators
Fayetteville,521,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,85.39%,7.87%
Fayetteville,521,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.39%,Fewer than 5 Educators
Loudon County,530,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,95.24%,Fewer than 5 Educators
Loudon County,530,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,88.19%,9.40%
Loudon County,530,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,88.92%,8.92%
Lenoir City,531,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,75.00%,Fewer than 5 Educators
Lenoir City,531,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,3.19%,Fewer than 5 Educators,Fewer than 5 Educators,84.57%,10.11%
Lenoir City,531,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,3.45%,Fewer than 5 Educators,Fewer than 5 Educators,86.21%,8.97%
McMinn County,540,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.47%,Fewer than 5 Educators
McMinn County,540,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,2.31%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.77%,5.13%
McMinn County,540,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,2.00%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.33%,5.67%
Athens,541,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,83.33%,Fewer than 5 Educators
Athens,541,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,4.65%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,83.72%,10.08%
Athens,541,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,84.38%,11.46%
Etowah,542,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Etowah,542,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,80.00%,Fewer than 5 Educators
Etowah,542,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,80.00%,Fewer than 5 Educators
McNairy County,550,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,88.89%,Fewer than 5 Educators
McNairy County,550,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.65%,10.29%
McNairy County,550,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,86.94%,10.82%
Macon County,560,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Macon County,560,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.58%,9.45%
Macon County,560,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.43%,9.76%
Madison County,570,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,57.81%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,40.62%,Fewer than 5 Educators
Madison County,570,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,32.55%,1.36%,Fewer than 5 Educators,1.07%,61.11%,3.41%
Madison County,570,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,30.64%,1.35%,Fewer than 5 Educators,1.23%,62.75%,3.43%
Marion County,580,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,94.44%,Fewer than 5 Educators
Marion County,580,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,86.62%,11.27%
Marion County,580,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,85.40%,12.83%
Richard City,581,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Richard City,581,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,94.44%,Fewer than 5 Educators
Richard City,581,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,93.33%,Fewer than 5 Educators
Marshall County,590,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,82.61%,Fewer than 5 Educators
Marshall County,590,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,2.44%,1.22%,Fewer than 5 Educators,Fewer than 5 Educators,88.02%,7.58%
Marshall County,590,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,1.86%,1.55%,Fewer than 5 Educators,Fewer than 5 Educators,87.27%,8.39%
Maury County,600,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,11.32%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,73.58%,13.21%
Maury County,600,All Educators,Fewer than 5 Educators,0.47%,5.88%,2.61%,Fewer than 5 Educators,0.56%,82.17%,8.22%
Maury County,600,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,5.58%,2.73%,Fewer than 5 Educators,Fewer than 5 Educators,82.66%,7.96%
Meigs County,610,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Meigs County,610,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.32%,11.27%
Meigs County,610,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,85.09%,13.16%
Monroe County,620,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,84.62%,Fewer than 5 Educators
Monroe County,620,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,85.67%,12.12%
Monroe County,620,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,86.21%,11.38%
Sweetwater,621,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Sweetwater,621,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,93.64%,4.55%
Sweetwater,621,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,94.12%,Fewer than 5 Educators
Montgomery County,630,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,12.33%,4.11%,Fewer than 5 Educators,Fewer than 5 Educators,79.45%,Fewer than 5 Educators
Montgomery County,630,All Educators,0.21%,0.74%,11.22%,5.19%,Fewer than 5 Educators,2.12%,77.73%,2.65%
Montgomery County,630,Teachers,Fewer than 5 Educators,0.73%,11.00%,5.80%,Fewer than 5 Educators,2.24%,77.26%,2.69%
Moore County,640,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Moore County,640,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.87%,8.86%
Moore County,640,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.50%,10.94%
Morgan County,650,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.86%,Fewer than 5 Educators
Morgan County,650,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,85.28%,12.12%
Morgan County,650,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,83.80%,12.85%
Obion County,660,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Obion County,660,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,1.86%,Fewer than 5 Educators,Fewer than 5 Educators,90.71%,7.06%
Obion County,660,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.78%,6.80%
Union City,661,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Union City,661,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,5.22%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,85.07%,8.21%
